level;intent;group_id;group;phrase;groups;active;imp;clicks;ctr;cpc;spend;spend_share;at_share;visits;leads;cr;cpl
group;7 Базовый тип;5774336405;Каскадные перегородки;[каскадные] [перегородки];1;1;81;8;9.9;91;728;0.8;36;7;0;0;
group;7 Базовый тип;5774336439;Цветные декоративные перегородки | Тонированные;[тонированные] [перегородки];1;1;25;3;12;209;627;0.7;61;3;0;0;
group;7 Базовый тип;5774336426;Стальные перегородки | Стали;[перегородки] [стали];1;1;77;5;6.5;105;527;0.6;32;5;0;0;
group;7 Базовый тип;5774336367;Зеркальные перегородки;[зеркальные] [перегородки];1;1;58;5;8.6;84;418;0.4;0;4;0;0;
group;7 Базовый тип;5774336395;Телескопические перегородки | Телескоп;[перегородка] [телескоп];1;1;62;7;11.3;52;367;0.4;70;8;0;0;
group;7 Базовый тип;5774336347;Арочные перегородки;[арочные] [перегородки];1;1;37;2;5.4;31;62;0.1;36;2;0;0;
group;7 Базовый тип;5774336434;Стационарные перегородки | Неподвижные;[неподвижные] [перегородки];1;1;26;1;3.8;26;26;0;0;1;0;0;
group;7 Базовый тип;5774336406;Каскадные перегородки | Каскад;[перегородка] [каскад];1;1;8;0;0;0;0;0;0;0;0;0;
group;7 Базовый тип;5774336410;Распашные перегородки | Маятниковые;[маятниковые] [перегородки];1;1;11;0;0;0;0;0;0;0;0;0;
group;7 Базовый тип;5774336435;Стационарные перегородки | Фиксированные;[фиксированные] [перегородки];1;1;4;0;0;0;0;0;0;0;0;0;
