id;name;phrase;intent;cat;imp;clicks;spend;visits;leads;expected;p_chance;enough;tv;imp_pos;click_pos;utm_visits;utm_premium;utm_pos_avg;utm_pos1;utm_mobile
5774336355;Арочные перегородки | Дверью;[арочная] [перегородка] [дверью];6 Уточнение исполнения;B клики без лидов;25;5;439;5;0;0.16;0.85;мало данных;95;1.6;1.2;6;33;1.2;83;50
5774336372;Зеркальные перегородки | Межкомнатные;[зеркальные] [перегородки] [межкомнатные];5 Помещение;B клики без лидов;48;6;437;6;0;0.19;0.83;мало данных;89;1.9;1.7;6;50;1.5;67;100
5774336407;Каскадные перегородки | Зонирования;[каскадная] [перегородка] [зонирования];4 Зонирование;B клики без лидов;16;3;432;2;0;0.1;0.91;мало данных;94;2.3;2.3;2;100;3;50;50
5774336356;Арочные перегородки | Москве;[арочные] [перегородки] [москве];3 Гео;B клики без лидов;39;5;377;5;0;0.16;0.85;мало данных;90;2.2;1;8;13;1;100;63
5774336391;Телескопические перегородки | Купить;[телескопические] [перегородки] [купить];1 Заказ / покупка;B клики без лидов;28;6;348;7;0;0.19;0.83;мало данных;95;2.8;2.5;7;86;1.7;71;57
5774336429;Стальные перегородки | Заказ;[стальные] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;13;2;326;2;0;0.06;0.94;мало данных;80;3;2;2;100;2;50;50
5774336438;Цветные декоративные перегородки;[цветные] [перегородки] / [цветные] [декоративные] [перегородки];6 Уточнение исполнения;B клики без лидов;37;2;320;1;0;0.06;0.94;мало данных;84;2;2.5;1;100;3;0;0
5774336358;Дизайнерские перегородки | Заказ;[дизайнерские] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;1;1;310;1;0;0.03;0.97;мало данных;91;1;1;1;100;1;100;0
5774336415;Распашные перегородки | Маятниковая Стеклянная Купить;[маятниковая] [стеклянная] [перегородка] [купить];1 Заказ / покупка;B клики без лидов;18;3;261;2;0;0.1;0.91;мало данных;93;2.9;2.7;2;50;1;100;50
5774336402;Каскадные перегородки | Москва;[каскадные] [перегородки] [москва];3 Гео;B клики без лидов;7;2;234;2;0;0.06;0.94;мало данных;78;2.8;3;2;100;2;50;100
