id|site|cap|act
3985286987|21238|39990|E
3985287011|21190|39900|E
3985287082|21190|39900|E
3985287096|21190|39900|E
3999521837|107234|197900|E
3999521849|107234|197900|E
3999521945|107234|197900|E
4387396020|50181|95900|E
4387396044|50181|95900|E
4387396255|50181|95900|E
5249275917|28213|51900|E
5249275919|28213|51900|E
5249275920|30387|55900|E
5249276018|30387|55900|E
5249276039|23139|51900|E
5249276040|30387|55900|E
5722528980|64974|119900|E
5722528984|64974|119900|E
5722528985|64974|119900|E
5722528996|64974|119900|E
5722529002|71475|131900|E
5722529009|76893|141900|E
5722529013|64974|119900|E
5722529027|76893|141900|E
5722529032|76893|141900|E
5722529033|71475|131900|E
5722529037|71475|131900|E
5722529053|75267|138900|E
5722529055|81228|149900|E
5722529060|75267|138900|E
5722529113|81228|149900|E
5738352798|67140|123900|E
5738352847|53753|98900|E
5738352948|67140|123900|E
5738353038|57388|105900|E
5738353427|53753|98899|M
5738353437|57388|105900|E
5738353638|57388|105900|E
5738353686|53753|98900|E
5738353786|67140|123900|E
5910747982|53730|121900|M
5931393928|49949|91899|M
5931394010|49949|91899|M
5931394027|40965|91899|M
6149640227|42302|94900|E
6149663629|42302|94900|E
6149663645|42302|94900|E
